Business name,Address,City,State,Zipcode,Country,Phone,Fax,Website
Cameron M. Zealand The Center for Pediatric Dentistry,8290c Centre Street North,Calgary,Alberta,T3K 2X4,Canada, (403) 295-8010, (403) 295-8022,http://centeroncentre.com
Keith E. McDonald A Kids Place - Dentistry for Children,451 Duvall Ave NE Ste 140,Renton,Washington,98059-4675,United States, (425) 228-5437,,http://www.akidsplacedentistry.com
Mai T. Le,4520 42nd Ave SW,Seattle,Washington,98116-4240,United States, (206) 937-6481,,
Joseph P. Kelly Seattle Childrens Hospital,4800 Sand Point Way NE # W-4875,Seattle,Washington,98105-3901,United States, (206) 987-2243,,
Elizabeth Velan,6222 NE 74th St,Seattle,Washington,98115-8158,United States, (206) 543-5800,,http://www.thecenterforpediatricdentistry.com
Victoria M. Vu Mercer Island Pediatric Dentistry,7800 SE 27th St Ste 101,Mercer Island,Washington,98040-3087,United States, (206) 535-8189,,http://www.mipediatricdentistry.com
Jared D. Evans KiDDS Dental,1327 N Stanford Ln Ste B,Liberty Lake,Washington,99019-5034,United States, (509) 891-7070, (509) 789-1640,http://www.growupsmiling.com
Jason R. Moffitt,520 S Cowley St Ste 101,Spokane,Washington,99202-1315,United States, (509) 838-1445, (509) 455-8955,http://www.moffittdental.com
Douglas W. Johnson Concord Pediatric Dentistry,16 Foundry St # 101,Concord,New Hampshire,03301-5419,United States, (603) 224-3339, (603) 224-3330,
Noushin N. Ghajari,2175 Lemoine Ave # 301,Fort Lee,New Jersey,07024-6001,United States, (201) 302-9844, (201) 302-9845,
Thomas R. Stark,405 Largo Cir,Lexington,Kentucky,40515-5129,United States, (859) 559-2543,,
Catherine A. Pagano,216 Willis Ave,Roslyn Heights,New York,11577-2125,United States, (516) 625-3806,,
Michael L. Phillips,515 Abbott Rd Ste 402,Buffalo,New York,14220-1700,United States, (716) 828-3575, (716) 828-3599,
Marti Peterson,1660 Hopkins Rd,Getzville,New York,14068-1061,United States, (716) 688-7721, (716) 688-7730,http://www.just4mepediatricdentistry.com
Denise M. Halter,2931 Essary Dr,Knoxville,Tennessee,37918-2404,United States, (865) 687-4450,,http://www.tinymolars.com
Denise M. Halter,2931 Essary Dr,Knoxville,Tennessee,37918-2404,United States, (423) 968-7774,,http://www.tinymolars.com
Barbara Moore,3674 Commerce Pl,Hamburg,New York,14075-3664,United States, (716) 362-3147, (716) 362-3149,
Cheryl Kelley,370 White Spruce Blvd,Rochester,New York,14623-1604,United States, (585) 424-5005, (585) 475-0096,
James L. Hutton III Children's Dental Associates,1706 Wedgewood Dr,Columbia,Tennessee,38401-3527,United States, (931) 381-9721, (931) 381-3507,http://childrensdentalcolumbia.com/
Andrea M. Mattia,175 Old Tappan Rd,Tappan,New York,10983-2310,United States, (201) 768-7100, (201) 768-0183,http://www.drandreamattia.com
Peter Rosenthal,1254 Montauk Hwy,West Islip,New York,11795-4924,United States, (631) 669-9194,,
Kanchi H. Kapadia,10 Winthrop St Ste 317,Worcester,Massachusetts,01604-4438,United States, (508) 799-5437,,
Janice V. Roseman,13 Hopkins Rd,Williamsville,New York,14221-4641,United States, (716) 633-1991, (716) 633-2435,
Emanuela F. Corielli,Uptown Office 1317 3rd Ave Fl 10,New York,New York,10021-2964,United States, (212) 355-7760, (212) 355-7761,http://www.brighthealthysmiles.com
Clarissa K. Marcovich,133 E 58th St Ste 804,New York,New York,10022-1119,United States, (212) 753-2676, (201) 461-1524,
Maggie F. Gurtner Gurtner Dental,429 Cochran Rd,Mt Lebanon,Pennsylvania,15228-1211,United States, (412) 341-0133, (412) 341-5711,
Alene M. D'Alesio,4401 Penn Ave,Pittsburgh,Pennsylvania,15224-1334,United States, (412) 692-7543,,
Sean A. Gill,"Abraham and Gill, DMD, LLC 4810 Old William Penn Hwy Ste 6",Export,Pennsylvania,15632-9468,United States, (724) 327-1122, (724) 327-7515,
Dwight J. Ashby,4509 Union Deposit Rd,Harrisburg,Pennsylvania,17111-2911,United States, (717) 558-9830, (717) 558-9844,http://www.kidsdentaloffice.com
Christie L. Michaud,5440 Military Trl Ste 11,Jupiter,Florida,33458-2867,United States, (561) 935-4425,,http://www.mainstreetsmiles.com
Hugh D. Vice,5470 Hixson Pike Ste A,Hixson,Tennessee,37343-3299,United States, (423) 842-0165, (423) 842-7614,
Thane Evans Crump Lake Area Pediatric Dentistry,600 4th St NE Ste 208 Suite 208,Watertown,South Dakota,57201-1898,United States, (605) 753-5437,,
Jeff L. Hemmingsen,711 N Sioux Point Rd,Dakota Dunes,South Dakota,57049-5099,United States, (605) 242-4700, (605) 242-4702,
Ghassan Souri,Woodfield Preserve 10 N Martingale Rd Ste 400,Schaumburg,Illinois,60173-2411,United States, (847) 858-1726, (847) 818-1207,
Kenneth S. Kollmann,Spring Meadow Professional Park 90 Crestmoor St,Collinsville,Illinois,62234-4951,United States, (618) 346-8000, (618) 346-8170,http://www.koolkidsdentist.com
Larry W. Meadors,2300 W Everest Ln Ste 125,Meridian,Idaho,83646-6113,United States, (208) 938-6343, (208) 884-5048,http://www.mykidsdmd.com
Joel E. Whitt Dental Care for Kids,3235 N Towerbridge Way Ste 200,Meridian,Idaho,83646-5721,United States, (208) 888-7711,,http://www.drbaby2th.com
Randy G. Smith,3365 S Holmes Ave,Idaho Falls,Idaho,83404-7981,United States, (208) 542-1333, (208) 552-7272,
Mark W. Marlowe Randy Smith Pediatric Dentistry,3365 S Holmes Ave,Idaho Falls,Idaho,83404-7981,United States, (208) 542-1333, (208) 552-7296,http://alligatordentist.com
Grace Yum Yummy Dental And Orthodontics For Kids,3500 N Lincoln Ave,Chicago,Illinois,60657-1104,United States, (773) 281-8100, (773) 281-1956,http://www.yummydental.com
Mark D. Cabana Grove Dental,6800 Main St Ste 315,Downers Grove,Illinois,60516-3478,United States, (630) 969-5350, (630) 969-4692,http://www.grovedental.com
Joseph A. Tylka,"Grove Medical Center, #308 R.F.D. 4160",Long Grove,Illinois,60047,United States, (847) 634-6166, (847) 634-6302,http://www.specialdental.com
Janice A. Lubas,6305 W 95th St Ste 200,Oak Lawn,Illinois,60453-2795,United States, (708) 424-1300, (708) 424-1786,
Gregory A. Robbins,4420 E Bristol St,Elkhart,Indiana,46514-6946,United States, (574) 264-9499, (574) 264-7883,http://www.elkhartkidsdentist.com
Jaime L. Steele Steele Pediatric Dentistry,9602 E Washington St Ste C,Indianapolis,Indiana,46229-3060,United States, (317) 899-5437,,http://www.eastindypediatricdentist.com
Tamara Gierke Button Community Dental Clinic,Community Dental Clinic 7750 W 200 S,Topeka,Indiana,46571-9436,United States, (260) 768-7918,,
Stephen C. Holmes Uptown Pediatric Dentistry,3715 Prytania St Ste 380,New Orleans,Louisiana,70115-3761,United States, (504) 896-7435, (504) 896-7437,http://www.uptownpediatricdentistry.com
John L. Snuggs,3809 Whites Ferry Rd,West Monroe,Louisiana,71291-2006,United States, (318) 396-6204,,
Laura P. Hogue,4001 Macarthur Blvd,New Orleans,Louisiana,70114-6801,United States, (504) 368-7000, (504) 368-7095,
Robert N. Mixon,5209 SW 91st Dr,Gainesville,Florida,32608-3028,United States, (352) 335-7777, (352) 371-3430,http://www.kidsonlydentalplace.com
Elizabeth J. Staves,5310 4th St N,Saint Petersburg,Florida,33703-2916,United States, (727) 526-5900, (727) 526-5944,http://www.stavespediatricdentistry.com
Sandy A. Worman Worman and Worman Dentistry for Childr,5353 1st Ave S,Saint Petersburg,Florida,33707-6101,United States, (727) 321-6911, (727) 328-2820,
Frank J. Sierra,5420 Webb Rd Ste C2,Tampa,Florida,33615-3255,United States, (813) 889-0780, (813) 885-2642,http://www.sierradmd.com
Ross H. Fishman,552 Jacksonville Dr,Jacksonville Beach,Florida,32250-3813,United States, (904) 247-4097, (904) 247-8495,http://fishmanpediatrics.com
James G. Bennett Jr.,9327 W Sample Rd,Coral Springs,Florida,33065-4101,United States, (954) 752-7651, (954) 345-4188,
Oliver P. Favalli,7117 Congdon Rd Ste 100,Fort Myers,Florida,33908-4216,United States, (239) 418-1444, (239) 418-1888,http://wheresmilesbegin.com
Janet S. Ellington,125 Eagles Pointe Pkwy Ste 210,Stockbridge,Georgia,30281-6379,United States, (770) 507-7282,,http://www.dentistry4children.com
Marlin S. Johnson,215 Constitution Dr,Thomasville,Georgia,31757-4901,United States, (229) 226-2386,,
Asha Yamini Ponugoti Grayson Pediatric Dentistry,2594 Loganville Hwy Ste 106,Grayson,Georgia,30017-7848,United States, (678) 682-9819,,http://www.mydentaldoctor.com
Margaret G. Moore Pediatric Dentistry of Central Georgia,900 Professional Dr,Warner Robins,Georgia,31088-0520,United States, (478) 333-3636,,http://www.growbigsmiles.com
Tanya Karnavy Little Britches Pediatric Dentistry,1818 Mountain View Ave,Longmont,Colorado,80501-3253,United States, (303) 651-3733,,http://www.littlebritches.com/
Kirk A. Skidmore,7785 Sunset Hwy Unit 332,Mercer Island,Washington,98040-4062,United States, (425) 785-2641,,
Tia Shea Sammons,1111 N Parkway Frontage Rd,Lakeland,Florida,33803-0400,United States, (863) 644-2408,,
Myles H. Levitt,7701 38th Ave N,Saint Petersburg,Florida,33710-1234,United States, (727) 345-3151, (727) 345-6551,http://www.toothfun.com
Dan Prasatthong,7701 38th Ave N,Saint Petersburg,Florida,33710-1234,United States, (727) 345-3151, (727) 345-6551,http://www.toothfun.com
Ivis Alvarez,7807 Baymeadows Rd E Ste 305,Jacksonville,Florida,32256-9667,United States, (904) 641-7455, (904) 641-8545,http://www.safariofsmiles.com
Bradley M. Farrow Farrow Pediatric Dentistry,4720 Traders Way Ste 300,Thompsons Station,Tennessee,37179-5432,United States, (615) 595-1559,,
Clay P. Goins,1612 Gunbarrel Rd Ste 102,Chattanooga,Tennessee,37421-4135,United States, (423) 954-9511, (423) 954-9912,
Lona D. Bibbs,1741 Newnan Crossing Blvd E Ste I,Newnan,Georgia,30265-6600,United States, (770) 253-4488, (678) 565-0825,http://www.mykidzdentistry.com
Joseph Maturo Sease,1420 Dunwoody Village Pkwy,Dunwoody,Georgia,30338-4123,United States, (770) 692-1000, (770) 455-4576,
Michael A. Tarver,255 SE 17th St,Ocala,Florida,34471-5138,United States, (352) 274-9731,,http://www.polliwogdental.com
Rosie Roldan Miami Children's Hospital Doral Center,Pediatric Dentistry 3601 NW 107th Ave Fl 3,Doral,Florida,33178-4377,United States, (305) 418-7771, (305) 662-8314,
Amarfis Anahi Garcia,4410 W 16th Ave Ste 52,Hialeah,Florida,33012-7193,United States, (305) 825-9899,,
Ernesto A. Prieto,8500 SW 92nd St Ste 103,Miami,Florida,33156-7379,United States, (305) 271-3301, (305) 271-9761,
Trevor P. Smith,1411 Falls Ave E Ste 1000C,Twin Falls,Idaho,83301-3459,United States, (208) 734-7415, (208) 733-1922,http://www.smiles4kidsidaho.com
James Proctor,2045 Honey Creek Pkwy SE,Conyers,Georgia,30013-2975,United States, (770) 483-6800, (770) 761-9425,http://www.jproctordds.com
Elyse M. Morceau My Kids' Dentists,Pediatric Dentistry 205 Hawkins Store Rd NW # 100,Kennesaw,Georgia,30144-6215,United States, (770) 926-3400, (770) 926-6317,http://www.mykidsdentists.com
Anthea Drew Mazzawi,205 Waleska Rd Ste 2B,Canton,Georgia,30114-2493,United States, (404) 275-8443,,http://www.cherokeechildrensdentistry.com
Jennifer M. Akkaway,370 Grand Ave Ste 200,Englewood,New Jersey,07631-4109,United States, (201) 871-3555, (201) 871-9096,http://www.childrensdentalhealthnj.com
Kevin H. Sakai,311 River Rd Ste 201,Puyallup,Washington,98371-4113,United States, (253) 200-2500, (253) 200-2503,
Brian J. Saunders,17300 Yorba Linda Blvd Ste G,Yorba Linda,California,92886-3810,United States, (714) 996-2200, (714) 996-0232,
Janet Y. Schrodi,TLC for Smiles 17411 Chatsworth St Ste 100,Granada Hills,California,91344-7612,United States, (818) 360-2131, (818) 831-4432,http://www.tlcforsmiles.com
Edward E. Dove Dove Pediatric Dentistry,3130 Union Ave,Bakersfield,California,93305-3443,United States, (661) 872-2170, (661) 872-9257,https://www.dovepediatricdentistry.com
Randall N. Ball Europe Regional Dental Command,92-1015M Koio Drive,Kapolei,Hawaii,96707,United States, (808) 675-8819,,
Stephanie A. Brandli,2051 Young St # 15,Honolulu,Hawaii,96826-2236,United States, (808) 791-9400,,
James F. Mason,4444 Buckeye Ln,Dayton,Ohio,45440-3100,United States, (937) 750-4610,,http://adventurepediatricdentistry.com
Willie S. Chao,PSC 557 Box 875,FPO,Armed Forces-AP 96,AP 96379,United States, (858) 222-2496,,
Lolo Wong,400 E Highway 67,Duncanville,Texas,75137-4157,United States, (972) 298-7560,,
Fred P. Shulski,114 Minnie St Ste A,Fairbanks,Alaska,99701-3000,United States, (907) 457-4922, (907) 457-4509,
Kallaya Wangpichit,11700 South St Ste 202,Artesia,California,90701-6611,United States, (562) 924-5437, (562) 296-6540,http://www.kidssmiledentist.com
Nhu Q. Tran,1171 Puerta Del Sol Ste A,San Clemente,California,92673-6343,United States, (949) 481-5437, (949) 481-6795,http://www.sckidsdentist.com
"Heather Huntley Owens Children's Dental Associates, P.C.",Children's Dental Associates 1706 Wedgewood Dr,Columbia,Tennessee,38401-3527,United States, (931) 381-9721, (931) 381-3507,
David Mitchell Glass,5301 Cowhorn Creek Rd,Texarkana,Texas,75503-9751,United States, (903) 831-1000,,http://www.pediatricdentistryoftexarkana.com
"K. Jean Beauchamp Clarksville Pediatric Dentistry, PC",2297 Rudolphtown Rd,Clarksville,Tennessee,37043-2226,United States, (931) 245-3333, (931) 245-3334,http://www.clarksvillepediatricdentistry.com
James B. Selecman,2028 W Poplar Ave Ste 110,Collierville,Tennessee,38017-0618,United States, (901) 861-9668, (901) 861-9582,
Eric K. Wood Sr.,206 Rivergate Pkwy # A,Goodlettsville,Tennessee,37072-2033,United States, (615) 859-9994, (615) 859-9939,http://www.ident.ws/childrensdentistry
Sonia S. Chung,175a Danforth Avenue,Toronto,Ontario,M4K 1N2,Canada, (647) 349-3349, (416) 813-6375,
Robert J. Whyte,5562 Pettapiece Cres,Manotick,Ontario,K4M 1C5,Canada, (613) 692-1091, (613) 692-1441,
Franklin Garcia-Godoy,Professor and Senior Executive Assoc. Dean COD - University of Tennessee 875 Union Avenue,Memphis,Tennessee,38163-0001,United States, (901) 448-6333,,
Harold V. Simpson,100 N Central Expy Ste 1108,Richardson,Texas,75080-5328,United States, (972) 235-8555, (972) 235-3148,
Terri E. Train,100 N Central Expy Ste 1108,Richardson,Texas,75080-5328,United States, (972) 235-8555, (972) 235-3148,
Jesus H. Trevino,413 W Sam Houston Blvd,Pharr,Texas,78577-5349,United States, (956) 781-8880, (956) 781-8977,
Troy S. Hardy,3473 W South Jordan Pkwy Ste 3,South Jordan,Utah,84095-6016,United States, (801) 446-2080,,http://coppercovekids.com
Robert F. Caldwell,5505 Edmondson Pike Ste 204 Suite 204,Nashville,Tennessee,37211-5869,United States, (615) 834-1383,,
Mirna A. Caldwell,5505 Edmondson Pike Ste 204,Nashville,Tennessee,37211-5869,United States, (615) 834-1383, (615) 834-1385,http://www.caldwellpediatricdentistry.com
Gregory T. Wilkinson,5610 Murray Rd,Memphis,Tennessee,38119-3805,United States, (901) 767-3390, (901) 763-0465,
"B. Wes McCann Jr. McCann Pediatric Dentistry, P.C.",5885 Ridgeway Center Pkwy Ste 230,Memphis,Tennessee,38120-4012,United States, (901) 767-9200,,http://mccanndentistry.com
Joy Henley McKee,Wild About Smiles 614 E Clark Blvd,Murfreesboro,Tennessee,37130-2121,United States, (615) 890-0885, (615) 890-8818,http://www.wildaboutsmiles4kids.com
Val Joseph Cheever Sunset Pediatric Dentistry,10920 S River Front Pkwy,South Jordan,Utah,84095-3538,United States, (801) 878-1470,,
Richard T. Adams,3701 Baker Ln Ste 1,Reno,Nevada,89509-5430,United States, (775) 825-1000, (775) 826-3030,http://www.smileshoponline.com
Nicole M. Stoker,3701 Baker Ln Ste 1,Reno,Nevada,89509-5430,United States, (775) 825-1000, (775) 826-3030,http://www.smileshoponline.com
Karen M. Stallaert,104-523 The Queensway,Etobicoke,Ontario,M8Y 1J7,Canada, (416) 252-5437,,http://www.childrensdentalcentre.ca/
Katherine J. Zettle,380 Eramosa Road,Guelph,Ontario,N1E 6R2,Canada, (519) 822-1259, (519) 766-9598,
Tabitha Chng,5 Second Hospital Ave,Singapore,168938,168938,Singapore, +65 6324 8972,,
Clive M. Friedman,389 Hyde Park Road,London,Ontario,N6H 3R8,Canada, (519) 679-9860, (519) 657-9984,
Krista S. Baier,65 Glasgow St.,Kitchener,Ontario,N2G 2G8,Canada, (519) 578-1491, (403) 543-9103,
Jack Maltz,"40 Peel Centre Drive, #205",Brampton,Ontario,L6T 4B4,Canada, (905) 791-5500, (905) 791-5502,
B. Carol Janik Children's Hospital of Eastern Ontario,Dental Department 401 Smyth Road,Ottawa,Ontario,K1H 8L1,Canada, (613) 737-2616, (613) 747-7580,
Stephanie Lauziere,401 Smyth Road,Ottawa,Ontario,K1H 8L1,Canada, (613) 737-2357,,
John R. Wiles 404 Dental Office,"1091 Gorham Street, #108",Newmarket,Ontario,L3Y 7V1,Canada, (905) 895-2100, (905) 895-0802,
Deborah G. Lin,"4040 Finch Avenue, E",Scarborough,,,Canada, (416) 298-3232, (416) 298-1593,
Zhemeng Wang,"4040 Finch Avenue, E, #201",Toronto,Ontario,M8S 4V5,Canada, (416) 298-3232, (416) 298-1593,
David M. Eisenstat,"4190 Finch Avenue, E, #407",Scarborough,Ontario,M1S 4T7,Canada, (416) 293-3336, (416) 787-7738,
Michael S. Park,3075 Ridgenay Drive Unit 18,Mississauga,Ontario,L5L3L5,Canada, (905) 997-3075,,
"Mary E. Tierney City Kids Dental, PC",4700 N Western Ave Ste 1A,Chicago,Illinois,60625-2051,United States, (773) 293-2700, (773) 293-3854,http://www.citykidsdental.com
Philip D. Moses,631 W College St,Lake Charles,Louisiana,70605-1521,United States, (337) 474-2563, (337) 474-9444,http://philipmosesdds.com
Kellie S. Axelrad,3116 6th St Ste 201,Metairie,Louisiana,70002-1764,United States, (504) 833-5528,,http://www.nolachildrensdental.com
Katherine E. Vo,704 Main St,Madisonville,Louisiana,70447-9717,United States, (985) 845-3211, (985) 845-2895,http://www.childrensdentalcottage.com
Pamela R. Shaw,701 Metairie Rd,Metairie,Louisiana,70005-4050,United States, (504) 838-8200, (504) 838-8884,http://www.penguindentist.com
David Michael Treff,5284 Lyngate Ct,Burke,Virginia,22015-1688,United States, (703) 712-8077,,http://pediatricdentistryofburke.com
Nicole R. Boxberger,2960 Gause Blvd E,Slidell,Louisiana,70461-4153,United States, (985) 641-3988,,
Brad S. Comeaux,PO Box 77758,Baton Rouge,Louisiana,70879-7758,United States, (225) 924-6622,,
Brynn L. Leroux,PO Box 77758,Baton Rouge,Louisiana,70879-7758,United States, (225) 924-6622, (225) 926-3384,http://www.aipdbr.com
Jason S. Glick,"1 Rotary Ctr 1560 Sherman Avenue, #610",Evanston,Illinois,60201-4469,United States, (847) 869-5417, (847) 869-5509,http://www.nsdckidsdental.com
Thafur Shemmeri Wachusett Pediatric Dentistry,100 Whalon St,Fitchburg,Massachusetts,01420-7162,United States, (978) 342-3004, (978) 343-7959,http://www.dentalhealth4kids.com
Scott L. Worley,4600 Lake St,Lake Charles,Louisiana,70605-5416,United States, (337) 474-0240,,
Claudia A. Cavallino,4752 Highway 311 Ste 115,Houma,Louisiana,70360-2810,United States, (985) 868-8331, (985) 868-8332,http://www.cavallinodentistryforkids.com
Noelle P. Gaudet,4752 Highway 311 Ste 115,Houma,Louisiana,70360-2810,United States, (985) 868-8331, (985) 868-8332,
Arash Goli,6 State Rd,Danvers,Massachusetts,01923-2567,United States, (617) 777-3744,,
Cheen Y. Loo Department of Pediatric Dentistry,127 Kilsyth Rd Apt 1,Brighton,Massachusetts,02135-7854,United States, (617) 636-3859,,
Catherine A. DeSimini,16 Washington St,Plainville,Massachusetts,02762-2641,United States, (508) 695-2064,,http://pediatricdentalhealthcare.com
Christine N. Kim Fleetwood Pediatric Dentistry,15342 Fraser Highway,Surrey,British Columbia,V3R 3P5,Canada, (604) 589-6233,,
Menka Malhotra,5590 Roswell Rd Ste 290,Atlanta,Georgia,30342-1917,United States, (678) 445-5444, (770) 874-0826,http://www.dentistry4children.com
Wesley D. Powell,2244 Henderson Mill Rd NE Ste 300,Atlanta,Georgia,30345-2744,United States, (770) 934-5900, (770) 493-6599,http://www.childteen.com
Vent S. Murphy,603 Lexington Ave,Fort Smith,Arkansas,72901-4736,United States, (501) 785-5437, (501) 785-5534,
Tim W. Lawrence,7203 Shady Ridge Ct,Fort Smith,Arkansas,72916-9345,United States, (479) 783-4182, (479) 783-4379,
Oscar A. Padilla,Nova Southeastern University 3200 S University Dr,Davie,Florida,33328-2018,United States, (954) 262-1791,,http://www.nova.edu
J. Barry Burgess,221 Rice Mine Rd NE Ste A,Tuscaloosa,Alabama,35406-2412,United States, (205) 758-3341, (205) 758-0846,
Richard A. Simpson North River Pediatric Dentistry,221 Rice Mine Rd NE Ste A,Tuscaloosa,Alabama,35406-2412,United States, (205) 758-3341, (205) 758-0846,
Antionette C. Wilson,1800 E Victory Dr Ste 2,Savannah,Georgia,31404-4195,United States, (202) 276-7572,,
Thomas E. Lee,1800 Warm Springs Rd Ste A,Columbus,Georgia,31904-8058,United States, (706) 323-7623,,
Dora E. Rodriguez,9449 Sheridan St Ste B,Hollywood,Florida,33024-8561,United States, (954) 431-3025, (954) 431-3201,http://www.miracledentalcenter.com
Victor R. Oramas,9580 Cobblestone Creek Dr,Boynton Beach,Florida,33472-4450,United States, (954) 964-3411,,
Jorge E. Landa,11790 SW 89th St,Miami,Florida,33186-2165,United States, (305) 271-1151,,http://www.pdkdentist.com
Tamara-Kay A. Tibby,1288 Mosswood Chase,Tallahassee,Florida,32312-3959,United States, (850) 576-4073, (561) 737-5194,
Lisa M. Feldman,"Lisa M. Feldman, DMD, PA 9804 S Military Trl Ste E3",Boynton Beach,Florida,33436-3298,United States, (561) 737-3633, (561) 737-5194,
Alissa N. Dragstedt,231 NW 137th Dr,Newberry,Florida,32669-2662,United States, (352) 316-7400,,http://www.grinsandgiggles.com
Leslie M. Pitts,215 Mercer Pl PO Box 1241 Po Box 1241,Commerce,Georgia,30529-1564,United States, (706) 335-7793, (706) 335-7815,http://www.drlpitts.com
Wendy L. Tang Just4Kids Pediatric Dentistry,102-15137 56th Avenue,Surrey,British Columbia,V3S 9A5,Canada, (604) 575-7785, (604) 575-7786,http://www.j4kdentistry.com
Jee-Won Choi,291 Yanggeunri Yangpyeongeup Yangpyeongg,Gyeonggi-do,,,United States, 82234772875, 82234772876,
Jorge F. Godoy,"5a Av 5-55 Zona, 14 5to Nivel Of 504 A Torre I Europlaza",Guatemala,City,,Guatemala, 50223888888, 50223823655,
Maria-Jose Cervantes Mendez,UTHSC-San Antonio 7703 Floyd Curl Dr Mail Code 7888,San Antonio,Texas,78229-3901,United States, (210) 567-6651, (210) 567-6603,
Paloma Perez,c/o Serpis 68-3,Valencia,46022,46022,Spain, 34963718003, 34963718003,http://www.clinicadentalinfantilpaloma.com
Ann L. Tornabene,2775 Esplanade,Chico,California,95973-1114,United States, (530) 893-4044,,
Christine Liaw,1733 Woodside Rd Ste 280,Redwood City,California,94061-3464,United States, (650) 366-5437,,http://www.woodsidepediatricdentistry.com
Christopher F. Ezzat,27450 Tourney Rd Ste 200 Suite 200,Valencia,California,91355-5623,United States, (661) 253-9009, (661) 253-9599,http://www.valenciadds.com
Rose E. Kim,27885 Smyth Dr,Valencia,California,91355-4011,United States, (818) 342-3474, (805) 294-9774,
Kathy Mulcahey,27885 Smyth Dr,Valencia,California,91355-4011,United States, (661) 294-1800, (661) 294-2674,
John M. Fowle,27800 Medical Center Rd Ste 332,Mission Viejo,California,92691-6409,United States, (714) 364-1171, (714) 544-6387,http://www.missionpediatricdentistry.com
Jerome C. Scales,623 8th Ave W,Birmingham,Alabama,35204-3604,United States, (205) 781-9399, (205) 780-1241,
Robin E. Lents,640 Cox Creek Pkwy,Florence,Alabama,35630-1105,United States, (256) 760-5660, (256) 760-4681,
Heather C. Thornton,7015 Halcyon Park Dr,Montgomery,Alabama,36117-7763,United States, (334) 284-1100, (334) 281-1245,
Wayne T. Tofukuji,22330 Hawthorne Blvd Ste 312,Torrance,California,90505-2541,United States, (310) 375-7671, (310) 375-6150,http://www.drwaynepediatric.com
Norman Bunch Northwest Children's Dentistry P.C.,7610 N La Cholla Blvd,Tucson,Arizona,85741-4201,United States, (520) 544-8522,,http://www.nwkidsdds.com
Ruben S. Acuna,"USPHS, IHS 7900 S J Stock Rd",Tucson,Arizona,85746-7012,United States, (520) 295-2575, (520) 295-2574,
Michael LaCorte,8351 N Oracle Rd,Tucson,Arizona,85704-7313,United States, (520) 297-5900, (520) 297-5940,http://www.drlacorte.com
Michael LaCorte,8351 N Oracle Rd,Tucson,Arizona,85704-7313,United States, (520) 297-5900, (520) 297-5940,http://www.drlacorte.com
Marc A. Auerbach Sonoran Center for Pediatric Dentistry,8567 N Silverbell Rd Ste 101,Tucson,Arizona,85743-7111,United States, (520) 744-2663, (520) 744-9093,http://www.pimapediatricdentistry.com
Roy M. Beam,7001 Indiana Ave Ste 9,Riverside,California,92506-4152,United States, (951) 782-0093, (951) 782-0096,
Sergio Weinberger Pediatric Dentistry and Orthodontics,"577 Oxford Street, E",London,Ontario,N5Y 3H9,Canada, (519) 679-6822, (519) 679-3450,http://www.pediatricdentistry.ca
Katherine W. Ing,"586 Eglinton Avenue, E, #607",Toronto,Ontario,M4P 1P2,Canada, (416) 486-6765, (416) 486-2085,
Robert Hustwitt,65 Glasgow Street,Kitchener,Ontario,N2G 2G8,Canada, (519) 578-7100, (519) 578-1471,
Vino Virat Khanna,585 Ontario St.S #208,Milton,Ontario,L9T 2N2,Canada, (905) 878-3030,,http://www.miltonkidsdentistry.com
James P. Starr Dr James Starr Dentistry PC,6925 Enterprise Way,Windsor,Ontario,N8T 3N6,Canada, (519) 974-5985, (519) 974-1399,
Melvyn A. Kay,"738 Sheppard Avenue, E, #201",Toronto,Ontario,M2K 1C4,Canada, (416) 223-2151, (416) 223-2155,
Varsha Divecha Shah,3005 Grand Concourse,Bronx,New York,10468-1428,United States, (718) 933-0998, (718) 933-0110,
Azadeh Ahmadi-Ardakani,27581 Berdun,Mission Viejo,California,92691-1431,United States, (949) 291-8196,,
Raymond Lee,"800 Commissioners Road E Room E1-637, Dental Department",London,Ontario,N6A 5W9,Canada, (519) 685-8263, (519) 685-8288,http://www.lhsc.on.ca/patients_families_visitors/dentistry/
Edina Heder L&amp;A Ortho And Kids Dental,6371 Main St.,Stouffville,Ontario,L4A 1G4,Canada, (905) 642-3642,,http://www.lakids.ca
Phu-My N. Gep Woodbridge Kids Dentistry,"8099 Weston Road, #22",Vaughan,Ontario,L4L 0C1,Canada, (905) 264-1543, (905) 264-1536,www.woodbridgekids.com
William Hb Ho,728 Arlington Park Place,Kingston,Ontario,K7M 8H9,Canada, (613) 634-8188, (613) 634-1179,
Paul W. MacDonald Canadian Academy of Pediatric Dentists,"817 Bayridge Drive, #201",Kingston,Ontario,K7P 1T5,Canada, (613) 384-0090, (613) 384-1716,
Amy A. Durocher,840 Esdras Place,Windsor,Ontario,N8S 2M7,Canada, (519) 944-7779, (519) 944-7733,
Jennifer A. Hibberd,"89 Humber College Boulevard, #220",Etobicoke,Ontario,M9V 4B8,Canada, (416) 740-4016, (416) 740-8712,http://www.drjenniferhibberd.com
Eileen Y. Lo Dr Eileen Lo Happy Kids Dentistry,"95 Bayly Street W, Suite 301",Ajax,Ontario,L1S 7K8,Canada, (905) 426-1833, (416) 447-4483,http://www.dreileenlo.com
Bobak Mehdi,9983 Keele Street,Vauguan,Ontario,L6A 1S8,Canada, (905) 417-2825, (905) 417-2591,
